Movie,Year,budget,runtime,genres,popularity,vote_average,vote_count,Views,Likes,Comments,IMDb_Rating,numVotes,Gross
Gran Turismo,2023.0,60000000,135,"Action, Drama, Adventure",2680.593,8.068,702,19996901.0,203522.0,11000.0,7.1,120008.0,122101055.0
Ruby Gillman: Teenage Kraken,2023.0,70000000,91,"Animation, Family, Fantasy, Comedy",321.777,7.474,677,11196626.0,43053.0,0.0,5.7,12854.0,45528749.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023.0,70000000,100,"Animation, Comedy, Action",484.876,7.328,652,17815392.0,99841.0,8114.0,7.2,72969.0,180513586.0
Asterix & Obelix: The Middle Kingdom,2023.0,72000000,112,"Family, Comedy, Adventure",45.726,4.821,615,1240459.0,13775.0,848.0,5.1,12032.0,46497678.0
Hypnotic,2023.0,70000000,94,"Mystery, Thriller, Science Fiction",149.609,6.5,603,940464.0,4329.0,435.0,5.5,42120.0,16281937.0
Kandahar,2023.0,0,119,"Action, Thriller",708.536,6.866,575,11728347.0,27134.0,1331.0,6.1,40860.0,9387311.0
Beau Is Afraid,2023.0,35000000,179,"Comedy, Adventure, Fantasy",44.044,6.8,527,10836925.0,149525.0,9324.0,6.6,71391.0,11955354.0
A Haunting in Venice,2023.0,60000000,104,"Mystery, Thriller, Crime",147.584,6.786,519,7751513.0,48140.0,2217.0,6.5,130983.0,122290456.0
Sound of Freedom,2023.0,15000000,131,"Action, Drama",1111.036,7.973,503,10969638.0,141533.0,7859.0,7.6,130322.0,250570396.0
The Boogeyman,2023.0,41900000,99,"Horror, Thriller, Mystery",184.621,6.767,415,10738640.0,81485.0,4950.0,5.9,49605.0,67307243.0
Mavka: The Forest Song,2023.0,5000000,99,"Animation, Adventure, Family, Fantasy",206.792,7.375,396,4108338.0,55482.0,1115.0,6.6,6699.0,17897257.0
Strays,2023.0,46000000,93,"Comedy, Adventure",419.527,7.531,389,4580750.0,29642.0,2488.0,6.3,35210.0,36071267.0
Mummies,2023.0,12300000,88,"Animation, Comedy, Family, Adventure, Fantasy",71.229,7.193,373,1493525.0,7938.0,0.0,5.9,9951.0,54475970.0
The Nun II,2023.0,38500000,110,"Horror, Mystery, Thriller",1692.778,6.545,365,47688339.0,405151.0,14740.0,5.6,69932.0,269467073.0
The Wandering Earth II,2023.0,73801827,173,"Science Fiction, Action, Drama",80.892,7.238,357,1564457.0,9275.0,1134.0,6.7,15345.0,8854786.0
Magic Mike's Last Dance,2023.0,45000000,112,"Comedy, Drama, Romance",27.894,6.8,355,12374988.0,29067.0,1700.0,5.2,18853.0,57105156.0
Retribution,2023.0,20000000,91,"Action, Mystery, Thriller, Crime",1547.22,6.816,258,13796374.0,39529.0,2995.0,5.3,25412.0,18685751.0
Alibi.com 2,2023.0,0,88,Comedy,24.63,6.715,256,33113.0,63.0,1.0,6.5,3501.0,34114308.0
The Equalizer 3,2023.0,70000000,109,"Action, Thriller, Crime",359.237,6.914,251,18973331.0,187725.0,14328.0,6.8,144236.0,191067560.0
All Your Faces,2023.0,0,115,Drama,15.439,8.208,236,47646.0,119.0,7.0,7.5,4298.0,9056053.0
The Crime Is Mine,2023.0,13700000,102,"Comedy, Mystery",28.686,6.59,229,37588.0,252.0,20.0,6.5,6297.0,10370863.0
Haunted Mansion,2023.0,157800000,123,"Fantasy, Comedy",86.751,6.8,217,6406729.0,31512.0,2289.0,6.0,47281.0,117449790.0
Shin Kamen Rider,2023.0,0,121,"Action, Drama, Science Fiction",156.758,7.02,204,639493.0,6527.0,309.0,6.1,3438.0,15835414.0
Champions,2023.0,0,124,Comedy,22.704,6.985,198,654840.0,1973.0,162.0,6.8,32458.0,19159065.0
Past Lives,2023.0,0,106,"Drama, Romance",46.659,7.847,193,10430573.0,153524.0,4707.0,7.8,150770.0,41922628.0
Anatomy of a Fall,2023.0,6200000,151,"Drama, Crime, Mystery",20.119,7.891,193,966193.0,3158.0,161.0,7.6,173802.0,35575941.0
Love Again,2023.0,9000000,104,"Romance, Drama, Comedy",25.145,6.65,183,15179003.0,61975.0,2943.0,5.9,17331.0,12696584.0
Love Again,2023.0,9000000,104,"Romance, Drama, Comedy",25.145,6.65,183,15179003.0,61975.0,2943.0,4.3,19.0,12696584.0
Jeanne du Barry,2023.0,0,117,"Drama, History, Romance",179.543,7.0,180,478782.0,3156.0,0.0,6.7,14754.0,13818536.0
Father & Soldier,2023.0,0,109,"Drama, History, War",59.45,6.0,175,59795.0,640.0,38.0,,,8598322.0
Joy Ride,2023.0,0,95,Comedy,65.62,6.623,167,4411630.0,39918.0,2379.0,6.4,27005.0,15787674.0
Ride On,2023.0,0,126,"Action, Comedy, Adventure, Drama",58.561,7.4,151,2036806.0,17337.0,554.0,6.3,6743.0,36258730.0
About My Father,2023.0,29100000,90,Comedy,33.845,6.234,124,22480826.0,12047.0,1056.0,5.7,15664.0,18167819.0
What's Love Got to Do with It?,2023.0,0,109,"Romance, Comedy",15.87,6.068,117,2704836.0,20102.0,1106.0,,,11065050.0
The Blackening,2023.0,5000000,97,"Horror, Comedy",56.495,6.212,113,894598.0,4829.0,738.0,,,18169453.0
The Roundup: No Way Out,2023.0,0,105,"Crime, Action",26.717,6.651,109,109990.0,277.0,9.0,6.6,7336.0,83410298.0
