Unnamed: 0,Year,Movie,Video_ID,Views,Likes,Comments,IMDb_Rating,numVotes,key,Gross,clean_title
108,2023.0,Tokyo MER,59dfRsL9LJs,1481906.0,10453.0,389.0,6.9,140.0,tokyo mer,30239900.0,tokyo mer
109,2023.0,Interstellar 2023  Re-release,XZFIYEnAS4M,708564.0,4163.0,348.0,,,interstellar 2023  rerelease,30093495.0,interstellar 2023  rerelease
110,2023.0,Concrete Utopia,57CJngvMoqg,711005.0,3977.0,200.0,6.6,8071.0,concrete utopia,30077348.0,concrete utopia
111,2023.0,BTS: Yet to Come in Cinemas,u0kJfkDix4Y,2233300.0,341359.0,10000.0,8.6,1855.0,bts yet to come in cinemas,29291883.0,bts yet to come in cinemas
112,2023.0,Book Club: The Next Chapter,i9k213d5FU0,6394154.0,5378.0,405.0,5.6,8669.0,book club the next chapter,29014500.0,book club the next chapter
113,2023.0,I Wish I Could Meet You Again on the Hill Where That Flower Blooms (2023),77s4ZnQsAuk,5034.0,89.0,5.0,,,i wish i could meet you again on the hill where that flower blooms 2023,28933626.0,i wish i could meet you again on the hill where that flower blooms 2023
114,2023.0,Jawan,MWOlnZSnXJo,5648611.0,81528.0,1674.0,6.9,104478.0,jawan,28499044.0,jawan
115,2023.0,The Wish of the Fairy Fish,xHxULlwYHlY,17038.0,102.0,1.0,6.2,827.0,the wish of the fairy fish,28218581.0,the wish of the fairy fish
116,2023.0,Toy Story 2023 Re-release,F8N0-ViM254,3226594.0,48685.0,0.0,,,toy story 2023 rerelease,27503758.0,toy story 2023 rerelease
117,2023.0,Renfield,6LmO6rmDW08,48468893.0,81653.0,5823.0,6.4,111387.0,renfield,26493921.0,renfield
118,2023.0,Gravity 2023 Re-release (10th Anniversary),d7re4psXPLk,6071203.0,0.0,5341.0,,,gravity 2023 rerelease 10th anniversary,24981634.0,gravity 2023 rerelease 10th anniversary
119,2023.0,Perfect Days,QzZBbX5A1FA,1795251.0,24821.0,582.0,7.9,82044.0,perfect days,24486644.0,perfect days
120,2023.0,Shin Jigen! Crayon Shin-chan the Movie,ZWJXRr4pHAM,122428.0,2596.0,0.0,6.6,724.0,shin jigen crayon shinchan the movie,23839864.0,shin jigen crayon shinchan the movie
121,2023.0,The Challenge,P-BI53Hx7VY,119492.0,2299.0,606.0,6.7,2703.0,the challenge,23219519.0,the challenge
122,2023.0,American Fiction,i0MbLCpYJPA,11584592.0,43219.0,2639.0,7.5,110294.0,american fiction,22483370.0,american fiction
123,2023.0,The Last Voyage of the Demeter,gCeXJN8E6y0,1048004.0,9180.0,524.0,6.1,63323.0,the last voyage of the demeter,21786275.0,the last voyage of the demeter
124,2023.0,The Three Musketeers - Part II: Milady,zzXPjLAWswQ,76341.0,168.0,14.0,6.4,10540.0,the three musketeers  part ii milady,21730766.0,the three musketeers  part ii milady
125,2023.0,Guy Ritchie's the Covenant,02PPMPArNEQ,25612705.0,135659.0,6295.0,7.5,188496.0,guy ritchies the covenant,21632392.0,guy ritchies the covenant
126,,,,,,,,,,,nan
127,2023.0,Radical,L4DvL0UBZPQ,1926238.0,3412.0,216.0,7.8,6692.0,radical,21356027.0,radical
